supplier_gstin,recipient_gstin,invoice_no,invoice_date,igst_amount,cgst_amount,sgst_amount
GSTIN1,GSTIN2,INV001,2023-01-15,1000,500,500
GSTIN1,GSTIN3,INV002,2023-01-20,2000,1000,1000
GSTIN2,GSTIN4,INV003,2023-01-25,1500,750,750
GSTIN3,GSTIN5,INV004,2023-01-30,3000,1500,1500
GSTIN4,GSTIN6,INV4001,2023-01-22,0,150,150
GSTIN5,GSTIN6,INV5001,2023-01-28,500,0,0
GSTIN1,GSTIN2,CN1001,2023-01-25,-200,0,0
GSTIN1,GSTIN3,INV005,2023-02-04,5000,0,0
GSTIN1,GSTIN2,INV006,2023-02-08,0,800,800
GSTIN2,GSTIN4,INV007,2023-02-12,0,500,500
GSTIN3,GSTIN5,INV008,2023-02-15,2500,0,0
GSTIN5,GSTIN6,INV009,2023-02-20,1200,0,0
GSTIN4,GSTIN5,INV010,2023-02-22,0,400,400
GSTIN6,GSTIN7,INV011,2023-02-25,300,0,0
GSTIN1,GSTIN3,INV012,2023-03-05,7000,0,0
GSTIN3,GSTIN5,INV013,2023-03-10,3500,0,0
GSTIN5,GSTIN6,INV014,2023-03-12,1500,0,0
GSTIN2,GSTIN8,INV015,2023-03-15,0,600,600
GSTIN8,GSTIN9,INV016,2023-03-22,900,0,0
GSTIN4,GSTIN6,INV017,2023-03-25,0,100,100
