recipient_gstin,supplier_gstin,invoice_no,invoice_date,claimed_itc_igst,claimed_itc_cgst,claimed_itc_sgst
GSTIN2,GSTIN1,INV001,2023-01-15,1000,500,500
GSTIN3,GSTIN1,INV002,2023-01-20,2000,1000,1000
GSTIN4,GSTIN2,INV003,2023-01-25,1500,750,750
GSTIN6,GSTIN7,INV005,2023-01-28,2000,1000,1000
GSTIN5,GSTIN3,INV004,2023-01-30,3000,1500,1500
GSTIN2,GSTIN1,CN1001,2023-01-25,-200,0,0
GSTIN3,GSTIN1,INV005,2023-02-04,5000,0,0
GSTIN2,GSTIN1,INV006,2023-02-08,0,800,800
GSTIN4,GSTIN2,INV007,2023-02-12,0,500,500
GSTIN5,GSTIN3,INV008,2023-02-15,2500,0,0
GSTIN6,GSTIN5,INV009,2023-02-20,1200,0,0
GSTIN5,GSTIN4,INV010,2023-02-22,0,400,400
GSTIN7,GSTIN6,INV011,2023-02-25,300,0,0
GSTIN8,GSTIN2,FAKE100,2023-02-18,1000,0,0
GSTIN3,GSTIN1,INV012,2023-03-05,7000,0,0
GSTIN5,GSTIN3,INV013,2023-03-10,3500,0,0
GSTIN6,GSTIN5,INV014,2023-03-12,1500,0,0
GSTIN8,GSTIN2,INV015,2023-03-15,0,600,600
GSTIN9,GSTIN8,INV016,2023-03-22,900,0,0
GSTIN6,GSTIN4,INV017,2023-03-25,0,100,100
